Column1,recordType,startTimeOfHalfHrPeriod,settlementPeriod,initialForecastPublishingPeriodCommencingTime,initialForecastSpnGeneration,latestForecastPublishingPeriodCommencingTime,latestForecastSpnGeneration,outTurnPublishingPeriodCommencingTime,fuelTypeGeneration,activeFlag,EFA,
0,WIND,01/11/2021,1,30/10/2021 03:30,9643,31/10/2021 22:30,9944,01/11/2021 00:30,10972,Y,1,
1,WIND,01/11/2021,2,NULL,NULL,NULL,NULL,01/11/2021 01:00,11053,Y,1,
2,WIND,01/11/2021,3,30/10/2021 03:30,9773,31/10/2021 22:30,9920,01/11/2021 01:30,11030,Y,1,
3,WIND,01/11/2021,4,NULL,NULL,NULL,NULL,01/11/2021 02:00,10787,Y,1,
4,WIND,01/11/2021,5,30/10/2021 03:30,9919,31/10/2021 22:30,10029,01/11/2021 02:30,10806,Y,1,
5,WIND,01/11/2021,6,NULL,NULL,NULL,NULL,01/11/2021 03:00,10748,Y,2,
6,WIND,01/11/2021,7,30/10/2021 03:30,10072,31/10/2021 22:30,10225,01/11/2021 03:30,11061,Y,2,
7,WIND,01/11/2021,8,NULL,NULL,NULL,NULL,01/11/2021 04:00,11144,Y,2,
8,WIND,01/11/2021,9,30/10/2021 03:30,10441,31/10/2021 22:30,10740,01/11/2021 04:30,11269,Y,2,
9,WIND,01/11/2021,10,NULL,NULL,NULL,NULL,01/11/2021 05:00,11465,Y,2,
10,WIND,01/11/2021,11,30/10/2021 03:30,10838,31/10/2021 22:30,11220,01/11/2021 05:30,11704,Y,2,
11,WIND,01/11/2021,12,NULL,NULL,NULL,NULL,01/11/2021 06:00,12151,Y,2,
12,WIND,01/11/2021,13,30/10/2021 03:30,11252,31/10/2021 22:30,11773,01/11/2021 06:30,11883,Y,2,
13,WIND,01/11/2021,14,NULL,NULL,NULL,NULL,01/11/2021 07:00,12447,Y,3,
14,WIND,01/11/2021,15,30/10/2021 03:30,11544,31/10/2021 22:30,12234,01/11/2021 07:30,12562,Y,3,
15,WIND,01/11/2021,16,NULL,NULL,NULL,NULL,01/11/2021 08:00,12436,Y,3,
16,WIND,01/11/2021,17,30/10/2021 03:30,11838,31/10/2021 22:30,12655,01/11/2021 08:30,12492,Y,3,
17,WIND,01/11/2021,18,NULL,NULL,NULL,NULL,01/11/2021 09:00,12356,Y,3,
18,WIND,01/11/2021,19,30/10/2021 03:30,12129,31/10/2021 22:30,12920,01/11/2021 09:30,12524,Y,3,
19,WIND,01/11/2021,20,NULL,NULL,NULL,NULL,01/11/2021 10:00,12641,Y,3,
20,WIND,01/11/2021,21,30/10/2021 03:30,12275,31/10/2021 22:30,13038,01/11/2021 10:30,12476,Y,3,
21,WIND,01/11/2021,22,NULL,NULL,NULL,NULL,01/11/2021 11:00,12782,Y,4,
22,WIND,01/11/2021,23,30/10/2021 03:30,12408,31/10/2021 22:30,13114,01/11/2021 11:30,12831,Y,4,
23,WIND,01/11/2021,24,NULL,NULL,NULL,NULL,01/11/2021 12:00,13023,Y,4,
24,WIND,01/11/2021,25,30/10/2021 03:30,12522,31/10/2021 22:30,13149,01/11/2021 12:30,12918,Y,4,
25,WIND,01/11/2021,26,NULL,NULL,NULL,NULL,01/11/2021 13:00,12785,Y,4,
26,WIND,01/11/2021,27,30/10/2021 03:30,12392,31/10/2021 22:30,13104,01/11/2021 13:30,12521,Y,4,
27,WIND,01/11/2021,28,NULL,NULL,NULL,NULL,01/11/2021 14:00,12226,Y,4,
28,WIND,01/11/2021,29,30/10/2021 03:30,12214,31/10/2021 22:30,12922,01/11/2021 14:30,12301,Y,4,
29,WIND,01/11/2021,30,NULL,NULL,NULL,NULL,01/11/2021 15:00,12296,Y,5,
30,WIND,01/11/2021,31,30/10/2021 03:30,11975,31/10/2021 22:30,12691,01/11/2021 15:30,12102,Y,5,
31,WIND,01/11/2021,32,NULL,NULL,NULL,NULL,01/11/2021 16:00,12097,Y,5,
